"id","Response_X","Response_Y","ClinicName","Type","HomeDocGroupID","HomeDocGroupName","HomeInteCareGroupID1","HomeInteCareGroupName1","HomeInteCareGroupID2","HomeInteCareGroupName2","HomeInteCareGroupID3","HomeInteCareGroupName3"
1,121.752319,24.745546,"宜蘭縣宜蘭市衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
2,121.766951,24.677529,"宜蘭縣羅東鎮衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
3,121.841658,24.593975,"宜蘭縣蘇澳鎮衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
4,121.820549,24.856759,"宜蘭縣頭城鎮衛生所",2,NA,"","HM34040001","頭城鎮衛生所團隊","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","",""
5,121.769905,24.820865,"宜蘭縣礁溪鄉衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
6,121.786319,24.74675,"宜蘭縣壯圍鄉衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
7,121.724365,24.744299,"宜蘭縣員山鄉衛生所",2,1340102043,"宜蘭","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
8,121.791571,24.636123,"宜蘭縣冬山鄉衛生所",2,1340802044,"山水","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
9,121.79895,24.6848,"宜蘭縣五結鄉衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
10,121.651549,24.666119,"宜蘭縣三星鄉衛生所",2,NA,"","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","","","",""
11,121.608845,24.677855,"宜蘭縣大同鄉衛生所",2,NA,"","HM34110001","宜蘭縣大同鄉衛生所團隊","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","",""
12,121.803525,24.46583,"宜蘭縣南澳鄉衛生所",2,NA,"","HM34120001","宜蘭縣南澳鄉衛生所團隊","HM34070002","宜蘭縣政府幸福蘭陽居家醫療照護團隊","",""
13,121.757691,24.75037,"臺北榮民總醫院員山分院附設門診部",1,1340102141,"甲子蘭","HM34070001","臺北榮民總醫院員山分院團隊","","","",""
14,121.839576,24.596219,"臺北榮民總醫院蘇澳分院附設門診部",1,1340302142,"平安(二)","HM34030001","臺北榮民總醫院蘇澳分院團隊","","","",""
15,121.724147,24.743443,"臺北榮民總醫院員山分院附設員山鄉門診部",1,NA,"","","","","","",""
16,121.892568,24.939978,"國立陽明大學附設醫院附設大溪門診部",1,NA,"","HM34010001","陽大居家醫療照護團隊","","","",""
17,121.755905,24.755273,"第一診所",1,NA,"","","","","","",""
18,121.752185,24.75409,"順安診所",1,NA,"","","","","","",""
19,121.753657,24.750102,"李富逸診所",1,NA,"","","","","","",""
20,121.753392,24.758837,"林內兒科診所",1,1340102048,"宜蘭安康","HM34010001","陽大居家醫療照護團隊","","","",""
21,121.750926,24.750884,"莊耳鼻喉科診所",1,1340102048,"宜蘭安康","","","","","",""
22,121.752516,24.753799,"李光雄診所",1,NA,"","","","","","",""
23,121.752228,24.754001,"李界元皮膚科診所",1,NA,"","","","","","",""
24,121.756024,24.754908,"周明偉診所",1,NA,"","","","","","",""
25,121.75214,24.75603,"李碧峰小兒科診所",1,NA,"","","","","","",""
26,121.756118,24.751425,"蔡仰中眼科診所",1,NA,"","","","","","",""
27,121.756479,24.75481,"黃芳裕診所",1,1340102048,"宜蘭安康","","","","","",""
28,121.753273,24.751029,"明仁眼科診所",1,1340102141,"甲子蘭","HM34070001","臺北榮民總醫院員山分院團隊","HM34010001","陽大居家醫療照護團隊","",""
29,121.747129,24.751816,"華杏診所",1,NA,"","","","","","",""
30,121.752964,24.759559,"譚國勇婦產科診所",1,1340102043,"宜蘭","HM34010001","陽大居家醫療照護團隊","","","",""
31,121.75505,24.749919,"徐英忠耳鼻喉科美形診所",1,NA,"","","","","","",""
32,121.752554,24.756795,"張志強眼科診所",1,NA,"","","","","","",""
33,121.75556,24.75567,"曹天德診所",1,1340102043,"宜蘭","HM34010001","陽大居家醫療照護團隊","","","",""
34,121.754207,24.756157,"吳宗儒復健科診所",1,NA,"","","","","","",""
35,121.756353,24.752253,"普仁健康診所",1,1340102141,"甲子蘭","","","","","",""
36,121.753684,24.750633,"陳義文小兒科診所",1,NA,"","","","","","",""
37,121.75114,24.752232,"明裕診所",1,NA,"","","","","","",""
38,121.753591,24.761606,"林耳鼻喉科診所",1,1340102141,"甲子蘭","HM34070001","臺北榮民總醫院員山分院團隊","HM34010001","陽大居家醫療照護團隊","",""
39,121.753029,24.758869,"徐瑪里婦產科診所",1,1340102048,"宜蘭安康","","","","","",""
40,121.754687,24.755737,"李耳鼻喉科診所",1,NA,"","","","","","",""
41,121.752344,24.756053,"李文生皮膚科診所",1,NA,"","","","","","",""
42,121.749862,24.759297,"黃建財診所",1,NA,"","","","","","",""
43,121.755476,24.745158,"潘仁進診所",1,1340102041,"全家福","HM34010001","陽大居家醫療照護團隊","","","",""
44,121.754526,24.751102,"和信診所",1,1340102141,"甲子蘭","HM34070001","臺北榮民總醫院員山分院團隊","HM34010001","陽大居家醫療照護團隊","",""
45,121.761123,24.751051,"陳漢憲診所",1,NA,"","","","","","",""
46,121.753364,24.750827,"蔡俊逸診所",1,NA,"","","","","","",""
47,121.753847,24.758755,"陳耳鼻喉科診所",1,1340102048,"宜蘭安康","","","","","",""
48,121.753742,24.756787,"永合診所",1,NA,"","","","","","",""
49,121.752984,24.759694,"聖恩診所",1,NA,"","","","","","",""
50,121.753589,24.763043,"聖心聯合診所",1,1340102043,"宜蘭","","","","","",""
51,121.751182,24.757959,"鄭在鈞復健科診所",1,NA,"","","","","","",""
52,121.753542,24.76148,"宜蘭翰林眼科診所",1,NA,"","","","","","",""
53,121.75331,24.760847,"林宏俊診所",1,NA,"","","","","","",""
54,121.754398,24.749923,"建成骨外科診所",1,1340102141,"甲子蘭","HM34070001","臺北榮民總醫院員山分院團隊","HM34010001","陽大居家醫療照護團隊","",""
55,121.755953,24.754894,"卓越整形外科診所",1,NA,"","","","","","",""
56,121.755336,24.750203,"厚生診所",1,1340102041,"全家福","HM34010001","陽大居家醫療照護團隊","","","",""
57,121.750054,24.749236,"開蘭安心診所",1,1340102041,"全家福","HM34010001","陽大居家醫療照護團隊","","","",""
58,121.753089,24.759083,"得安診所",1,NA,"","","","","","",""
59,121.75399,24.749842,"許/明哲耳鼻喉科診所",1,1340102041,"全家福","","","","","",""
60,121.755735,24.750537,"青田診所",1,NA,"","","","","","",""
