id,Response_X,Response_Y,ClinicName,Type
1,121.752319,24.745546,宜蘭縣宜蘭市衛生所,2
2,121.766951,24.677529,宜蘭縣羅東鎮衛生所,2
3,121.841658,24.593975,宜蘭縣蘇澳鎮衛生所,2
4,121.820549,24.856759,宜蘭縣頭城鎮衛生所,2
5,121.769905,24.820865,宜蘭縣礁溪鄉衛生所,2
6,121.786319,24.74675,宜蘭縣壯圍鄉衛生所,2
7,121.724365,24.744299,宜蘭縣員山鄉衛生所,2
8,121.791571,24.636123,宜蘭縣冬山鄉衛生所,2
9,121.79895,24.6848,宜蘭縣五結鄉衛生所,2
10,121.651549,24.666119,宜蘭縣三星鄉衛生所,2
11,121.608845,24.677855,宜蘭縣大同鄉衛生所,2
12,121.803525,24.46583,宜蘭縣南澳鄉衛生所,2
13,121.757691,24.75037,臺北榮民總醫院員山分院附設門診部,1
14,121.839576,24.596219,臺北榮民總醫院蘇澳分院附設門診部,1
15,121.724147,24.743443,臺北榮民總醫院員山分院附設員山鄉門診部,1
16,121.892568,24.939978,國立陽明大學附設醫院附設大溪門診部,1
17,121.755905,24.755273,第一診所,1
18,121.752185,24.75409,順安診所,1
19,121.753657,24.750102,李富逸診所,1
20,121.753392,24.758837,林內兒科診所,1
21,121.750926,24.750884,莊耳鼻喉科診所,1
22,121.752516,24.753799,李光雄診所,1
23,121.752228,24.754001,李界元皮膚科診所,1
24,121.756024,24.754908,周明偉診所,1
25,121.75214,24.75603,李碧峰小兒科診所,1
26,121.756118,24.751425,蔡仰中眼科診所,1
27,121.756479,24.75481,黃芳裕診所,1
28,121.753273,24.751029,明仁眼科診所,1
29,121.747129,24.751816,華杏診所,1
30,121.752964,24.759559,譚國勇婦產科診所,1
31,121.75505,24.749919,徐英忠耳鼻喉科美形診所,1
32,121.752554,24.756795,張志強眼科診所,1
33,121.75556,24.75567,曹天德診所,1
34,121.754207,24.756157,吳宗儒復健科診所,1
35,121.756353,24.752253,普仁健康診所,1
36,121.753684,24.750633,陳義文小兒科診所,1
37,121.75114,24.752232,明裕診所,1
38,121.753591,24.761606,林耳鼻喉科診所,1
39,121.753029,24.758869,徐瑪里婦產科診所,1
40,121.754687,24.755737,李耳鼻喉科診所,1
41,121.752344,24.756053,李文生皮膚科診所,1
42,121.749862,24.759297,黃建財診所,1
43,121.755476,24.745158,潘仁進診所,1
44,121.754526,24.751102,和信診所,1
45,121.761123,24.751051,陳漢憲診所,1
46,121.753364,24.750827,蔡俊逸診所,1
47,121.753847,24.758755,陳耳鼻喉科診所,1
48,121.753742,24.756787,永合診所,1
49,121.752984,24.759694,聖恩診所,1
50,121.753589,24.763043,聖心聯合診所,1
51,121.751182,24.757959,鄭在鈞復健科診所,1
52,121.753542,24.76148,宜蘭翰林眼科診所,1
53,121.75331,24.760847,林宏俊診所,1
54,121.754398,24.749923,建成骨外科診所,1
55,121.755953,24.754894,卓越整形外科診所,1
56,121.755336,24.750203,厚生診所,1
57,121.750054,24.749236,開蘭安心診所,1
58,121.753089,24.759083,得安診所,1
59,121.75399,24.749842,許/明哲耳鼻喉科診所,1
60,121.755735,24.750537,青田診所,1
61,121.754883,24.749872,呂學劼診所,1
62,121.756486,24.755152,光中身心診所,1
63,121.752353,24.756084,胡進忠眼科診所,1
64,121.752321,24.753657,宜美皮膚科診所,1
65,121.755821,24.755308,松禾診所,1
66,121.756844,24.761387,羅恭箎內科診所,1
67,121.747955,24.755028,雅信診所,1
68,121.742014,24.745766,小河馬診所,1
69,121.753055,24.759977,朱俊源診所,1
70,121.749969,24.748899,宜蘭普門醫療財團法人普門診所,1
71,121.77208,24.675511,優昇診所,1
72,121.767748,24.675132,仁和診所,1
73,121.769876,24.679193,明堂診所,1
74,121.769962,24.673467,仁安診所,1
75,121.766532,24.676997,林內皮膚科診所,1
76,121.770357,24.676123,黃內兒科診所,1
77,121.769938,24.6787,黃耀發小兒科診所,1
78,121.771329,24.675379,五福診所,1
79,121.771344,24.678307,吳眼科診所,1
80,121.769139,24.677445,洪內兒科診所,1
81,121.770199,24.678618,詹內兒科診所,1
82,121.770065,24.675872,陳內兒科診所,1
83,121.771287,24.678322,李鏡明內兒科,1
84,121.770431,24.677615,許/醫師內兒科診所,1
85,121.770206,24.674949,藍內兒科診所,1
86,121.770299,24.677329,周建章診所,1
87,121.767519,24.672355,泰林診所,1
88,121.770716,24.680449,石耳鼻喉科,1
89,121.767929,24.679235,李建政耳鼻喉科診所,1
90,121.765224,24.677627,謝漢池診所,1
91,121.770167,24.672489,仁壽診所,1
92,121.768207,24.678926,王維昌診所,1
93,121.767604,24.675685,王步幸耳鼻喉科診所,1
94,121.77399,24.672298,顏江龍整形外科診所,1
95,121.770111,24.677544,呂耳鼻喉科診所,1
96,121.772573,24.677074,侯眼科診所,1
97,121.769854,24.680691,鄭裕南復健科診所,1
98,121.767235,24.672344,普濟診所,1
99,121.765897,24.679767,溫家麟診所,1
100,121.76984,24.679083,林正權婦產科診所,1
101,121.758907,24.67329,北成診所,1
102,121.769284,24.680269,陳文貴診所,1
103,121.768295,24.678901,洪眼科診所,1
104,121.771434,24.669634,吳振華小兒科診所,1
105,121.766951,24.673271,洪仁宗診所,1
106,121.769134,24.675193,信德診所,1
107,121.77178,24.676721,芳山診所,1
108,121.771265,24.678079,佳美診所,1
109,121.767866,24.67924,李翰林眼科診所,1
110,121.770714,24.671434,佳音診所,1
111,121.76243,24.672399,黃圭龍小兒科診所,1
112,121.771938,24.676143,蔡孟吉耳鼻喉科診所,1
113,121.770029,24.673251,趙耳鼻喉科診所,1
114,121.76841,24.674287,陳重慶診所,1
115,121.769284,24.680269,吳得中診所,1
116,121.770757,24.68044,謝世雄診所,1
117,121.770693,24.671145,陳思衡復健科診所,1
118,121.767253,24.672315,王仁暉皮膚科診所,1
119,121.765183,24.688802,游信得診所,1
120,121.777364,24.681059,游能俊診所,1
121,121.768791,24.673138,藍正州小兒科診所,1
122,121.759478,24.671959,維揚診所,1
123,121.777457,24.669733,現代美學整形外科診所,1
124,121.773552,24.672825,平和身心診所,1
125,121.76153,24.672205,王東生診所,1
126,121.77189,24.678495,林榆森小兒科診所,1
127,121.76718,24.674988,家家診所,1
128,121.768817,24.679647,光澤診所,1
129,121.762604,24.672707,黃志賢婦產科診所,1
130,121.771036,24.674424,羅東眼科診所,1
131,121.770286,24.683984,東興婦產科診所,1
132,121.772987,24.674479,林育全皮膚專科診所,1
133,121.763784,24.679748,劉醫師小兒科診所,1
134,121.768059,24.676121,祐民診所,1
135,121.767479,24.674324,傳康診所,1
136,121.849256,24.59626,吳慶順診所,1
137,121.837839,24.59574,俞/國棟診所,1
138,121.849662,24.596082,周金章診所,1
139,121.847339,24.595982,愛生診所,1
140,121.864744,24.582448,金明診所,1
141,121.834217,24.620271,曾家庭醫學科診所,1
142,121.867354,24.581298,健生全民診所,1
143,121.86523,24.583103,吳昌達診所,1
144,121.839664,24.617605,健仁內科診所,1
145,121.847873,24.595775,瑞明眼科診所,1
146,121.830285,24.643949,徐世明診所,1
147,121.821452,24.854067,李彰義診所,1
148,121.824033,24.860152,仁宏診所,1
149,121.823851,24.857506,博生診所,1
150,121.822624,24.855874,頭城診所,1
151,121.820812,24.857137,照仁診所,1
152,121.824033,24.860152,吳芳霖眼科診所,1
153,121.82139,24.853962,杏林診所,1
154,121.771735,24.824155,周診所,1
155,121.76994,24.819195,吳震世診所,1
156,121.771281,24.826053,岱山診所,1
157,121.770802,24.820188,陳內科診所,1
