id,Address,Response_Address,Response_X,Response_Y
1,宜蘭縣宜蘭市林森路１號,宜蘭縣宜蘭市新東里13鄰林森路1號,121.757691,24.750370
2,宜蘭縣蘇澳鎮中山路１段４３９號,宜蘭縣蘇澳鎮聖愛里4鄰中山路一段439號,121.839576,24.596219
3,宜蘭縣員山鄉員山路１段３２５號,宜蘭縣員山鄉員山村16鄰員山路一段325號,121.724147,24.743443
4,宜蘭縣頭城鎮濱海路五段２１１號１樓,宜蘭縣頭城鎮大溪里3鄰濱海路五段211號,121.892568,24.939978
5,宜蘭縣宜蘭市光復路４６號,宜蘭縣宜蘭市大新里3鄰光復路46號,121.755905,24.755273
6,宜蘭縣宜蘭市中山路２段１８９號,宜蘭縣宜蘭市民權里7鄰中山路二段189號,121.753657,24.750102
7,宜蘭縣宜蘭市聖後街１７３號,宜蘭縣宜蘭市東門里5鄰聖後街173號,121.753392,24.758837
8,宜蘭縣宜蘭市神農路２段４８號,宜蘭縣宜蘭市民權里10鄰神農路二段48號,121.750926,24.750884
9,宜蘭縣宜蘭市中山路２段５１２號,宜蘭縣宜蘭市神農里16鄰中山路二段512號,121.752516,24.753799
10,宜蘭縣宜蘭市中山路２段３０９號,宜蘭縣宜蘭市神農里17鄰中山路二段309號,121.752228,24.754001
11,宜蘭縣宜蘭市光復路３９號,宜蘭縣宜蘭市神農里16鄰光復路39號,121.756024,24.754908
12,宜蘭縣宜蘭市中山路３段２９號、２９號２樓之２,宜蘭縣宜蘭市南門里2鄰中山路三段29號,121.752140,24.756030
13,宜蘭縣宜蘭市宜興路１段１１１號４樓及１１３號,宜蘭縣宜蘭市神農里13鄰宜興路一段111號,121.756112,24.751398
14,宜蘭縣宜蘭市神農里光復路２１號,宜蘭縣宜蘭市神農里16鄰光復路21號,121.756479,24.754810
15,宜蘭縣宜蘭市中山路２段２３１號,宜蘭縣宜蘭市民權里7鄰中山路二段231號,121.753273,24.751029
16,宜蘭縣宜蘭市民族路２９０號,宜蘭縣宜蘭市民族里6鄰民族路290號,121.747129,24.751816
17,宜蘭縣宜蘭市中山路３段１４３號１樓,宜蘭縣宜蘭市中山里3鄰中山路三段143號,121.752889,24.759206
18,宜蘭縣宜蘭市復興路２９號１、２樓,宜蘭縣宜蘭市神農里12鄰復興路29號,121.755050,24.749919
19,宜蘭縣宜蘭市中山路３段７２號,宜蘭縣宜蘭市新民里13鄰中山路三段72號,121.752554,24.756795
20,宜蘭縣宜蘭市舊城東路３－１號,宜蘭縣宜蘭市新民里9鄰舊城東路3之1號,121.755560,24.755670
21,宜蘭縣宜蘭市昇平里康樂路１０３號,宜蘭縣宜蘭市新民里11鄰康樂路103號,121.754207,24.756157
22,宜蘭縣宜蘭市民權路１段２號,宜蘭縣宜蘭市大新里1鄰民權路一段2號,121.756353,24.752253
23,宜蘭縣宜蘭市中山路２段３５８號１樓,宜蘭縣宜蘭市神農里15鄰中山路二段358號,121.753684,24.750633
24,宜蘭縣宜蘭市中山路３段２３３號,宜蘭縣宜蘭市北門里1鄰中山路三段233號,121.753591,24.761606
25,宜蘭縣宜蘭市中山路３段１４６號３樓,宜蘭縣宜蘭市東門里5鄰中山路三段146號,121.753029,24.758869
26,宜蘭縣宜蘭市昇平里崇聖街３３－２號,宜蘭縣宜蘭市新民里10鄰崇聖街33之2號,121.754687,24.755737
27,宜蘭縣宜蘭市中山路３段４２號,宜蘭縣宜蘭市新民里1鄰中山路三段42號,121.752344,24.756053
28,宜蘭縣宜蘭市舊城西路７９號,宜蘭縣宜蘭市西門里9鄰舊城西路79號,121.749862,24.759297
29,宜蘭縣宜蘭市中山路２段６１號１樓,宜蘭縣宜蘭市民權里2鄰中山路二段61號,121.755476,24.745158
