"","TownID","TownCode","TownName","VillagCode","VillagEng","VillagName"
"1","G01","1000201","宜蘭市","229","Daxin Vil.","大新里"
"2","G01","1000201","宜蘭市","226","Xindong Vil.","新東里"
"3","G01","1000201","宜蘭市","228","Taishan Vil.","泰山里"
"4","G01","1000201","宜蘭市","227","Qijie  Vil.","七結里"
"5","G01","1000201","宜蘭市","231","Baili  Vil.","擺/厘里"
"6","G01","1000201","宜蘭市","230","Zhongxing Vil.","中興里"
"7","G01","1000201","宜蘭市","225","Chenggong Vil.","成功/里"
"8","G01","1000201","宜蘭市","194","Shennong Vil.","神農里"
"9","G01","1000201","宜蘭市","195","Minquan Vil.","民權里"
"10","G01","1000201","宜蘭市","196","Jinshi Vil.","進士里"
"11","G01","1000201","宜蘭市","197","Nanqiao Vil.","南橋里"
"12","G01","1000201","宜蘭市","198","Jianye Vil.","建業里"
"13","G01","1000201","宜蘭市","199","Nanjin Vil.","南津里"
"14","G01","1000201","宜蘭市","200","Kaixuan Vil.","凱旋里"
"15","G01","1000201","宜蘭市","201","Liming Vil.","黎明里"
"16","G01","1000201","宜蘭市","202","Dongcun Vil.","東村里"
"17","G01","1000201","宜蘭市","203","Yanping Vil.","延平里"
"18","G01","1000201","宜蘭市","204","Qizhang Vil.","七張里"
"19","G01","1000201","宜蘭市","205","Ci'an Vil.","慈安里"
"20","G01","1000201","宜蘭市","206","Xinmin Vil.","新民里"
"21","G01","1000201","宜蘭市","207","Dongmen Vil.","東門里"
"22","G01","1000201","宜蘭市","208","Xiaodong Vil.","小東里"
"23","G01","1000201","宜蘭市","209","Caiyuan Vil.","菜園里"
"24","G01","1000201","宜蘭市","210","Xiaolian Vil.","孝廉里"
"25","G01","1000201","宜蘭市","211","Xinsheng Vil.","新生里"
"26","G01","1000201","宜蘭市","212","Jiaobai Vil.","茭白里"
"27","G01","1000201","宜蘭市","213","Beijin Vil.","北津里"
"28","G01","1000201","宜蘭市","214","Meizhou Vil.","梅洲里"
"29","G01","1000201","宜蘭市","215","Beimen Vil.","北門里"
"30","G01","1000201","宜蘭市","216","Zhongshan Vil.","中山里"
"31","G01","1000201","宜蘭市","217","Ximen Vil.","西門里"
"32","G01","1000201","宜蘭市","218","Nanmen Vil.","南門里"
"33","G01","1000201","宜蘭市","219","Fuguo Vil.","負郭里"
"34","G01","1000201","宜蘭市","220","Minzu Vil.","民族里"
"35","G01","1000201","宜蘭市","221","Jianjun Vil.","建軍里"
"36","G01","1000201","宜蘭市","222","Siyuan Vil.","思源里"
"37","G01","1000201","宜蘭市","223","Wenhua Vil.","文化里"
"38","G01","1000201","宜蘭市","224","Fuxing Vil.","復興里"
"39","G06","1000202","羅東鎮","232","Daxin Vil.","大新里"
"40","G06","1000202","羅東鎮","233","Dong'an Vil.","東安里"
"41","G06","1000202","羅東鎮","234","Xinqun Vil.","新群里"
"42","G06","1000202","羅東鎮","235","Luozhuang Vil.","羅莊里"
"43","G06","1000202","羅東鎮","236","Nanchang Vil.","南昌里"
"44","G06","1000202","羅東鎮","237","Nanhao Vil.","南豪里"
"45","G06","1000202","羅東鎮","238","Chenggong Vil.","成功/里"
"46","G06","1000202","羅東鎮","239","Rende Vil.","仁德里"
"47","G06","1000202","羅東鎮","240","Hanmin Vil.","漢民里"
"48","G06","1000202","羅東鎮","241","Xi'an Vil.","西安里"
"49","G06","1000202","羅東鎮","242","Beicheng Vil.","北成里"
"50","G06","1000202","羅東鎮","243","Xianwen Vil.","賢文里"
"51","G06","1000202","羅東鎮","244","Gongzheng Vil.","公正里"
"52","G06","1000202","羅東鎮","245","Jixiang Vil.","集祥里"
"53","G06","1000202","羅東鎮","246","Xinyi Vil.","信義里"
"54","G06","1000202","羅東鎮","247","Zhulin Vil.","竹林里"
"55","G06","1000202","羅東鎮","248","Ren'ai Vil.","仁愛里"
"56","G06","1000202","羅東鎮","249","Shulin Vil.","樹林里"
"57","G06","1000202","羅東鎮","250","Guohua Vil.","國華里"
"58","G06","1000202","羅東鎮","251","Weiyang  Vil.","維揚里"
"59","G06","1000202","羅東鎮","252","Kaiming Vil.","開明里"
"60","G06","1000202","羅東鎮","253","Zhongshan Vil.","中山里"
"61","G06","1000202","羅東鎮","254","Renhe Vil.","仁和里"
"62","G09","1000203","蘇澳鎮","255","Longde Vil.","龍德里"
"63","G09","1000203","蘇澳鎮","256","Dingliao Vil.","頂寮里"
"64","G09","1000203","蘇澳鎮","257","Yongrong Vil.","永榮里"
"65","G09","1000203","蘇澳鎮","258","Cunren Vil.","存仁里"
"66","G09","1000203","蘇澳鎮","259","Gangbian Vil.","港邊里"
"67","G09","1000203","蘇澳鎮","260","Aiding Vil.","隘丁里"
"68","G09","1000203","蘇澳鎮","261","Xincheng Vil.","新城里"
"69","G02","1000204","頭城鎮","281","Shicheng Vil.","石城里"
"70","G02","1000204","頭城鎮","282","Da Vil.","大里里"
"71","G02","1000204","頭城鎮","283","Daxi Vil.","大溪里"
"72","G02","1000204","頭城鎮","284","Hexing Vil.","合興里"
"73","G02","1000204","頭城鎮","285","Gengxin Vil.","更新里"
"74","G02","1000204","頭城鎮","286","Wai'ao Vil.","外澳里"
"75","G02","1000204","頭城鎮","287","Gangkou Vil.","港口里"
"76","G02","1000204","頭城鎮","288","Wuying Vil.","武營里"
"77","G02","1000204","頭城鎮","289","Dakeng Vil.","大坑/里"
"78","G02","1000204","頭城鎮","290","Chengdong Vil.","城東里"
"79","G02","1000204","頭城鎮","291","Chengbei Vil.","城北里"
"80","G02","1000204","頭城鎮","292","Chengxi Vil.","城西里"
"81","G02","1000204","頭城鎮","293","Chengnan Vil.","城南里"
"82","G02","1000204","頭城鎮","294","Zhu'an Vil.","竹安里"
"83","G02","1000204","頭城鎮","295","Xinjian Vil.","新建里"
"84","G02","1000204","頭城鎮","296","Baya Vil.","拔雅里"
"85","G02","1000204","頭城鎮","297","Fucheng Vil.","福成里"
"86","G02","1000204","頭城鎮","298","Jinmian Vil.","金面里"
"87","G02","1000204","頭城鎮","299","Jinying Vil.","金盈里"
"88","G02","1000204","頭城鎮","300","Dingpu Vil.","頂埔里"
"89","G02","1000204","頭城鎮","301","Xiapu Vil.","下埔里"
"90","G02","1000204","頭城鎮","302","Zhonglun Vil.","中崙里"
"91","G02","1000204","頭城鎮","303","Ercheng Vil.","二城里"
"92","G02","1000204","頭城鎮","304","Guishan Vil.","龜山里"
"93","G03","1000205","礁溪鄉","305","Baiyun Vil.","白雲村"
"94","G03","1000205","礁溪鄉","306","Yushi Vil.","玉石村"
"95","G03","1000205","礁溪鄉","307","Deyang Vil.","德陽村"
"96","G03","1000205","礁溪鄉","308","Dazhong Vil.","大忠村"
"97","G03","1000205","礁溪鄉","309","Dayi Vil.","大義村"
"98","G03","1000205","礁溪鄉","310","Liujie Vil.","六結村"
"99","G03","1000205","礁溪鄉","311","Erlong Vil.","二龍村"
"100","G03","1000205","礁溪鄉","312","Shichao Vil.","時潮村"
"101","G03","1000205","礁溪鄉","313","Yutian Vil.","玉田村"
"102","G03","1000205","礁溪鄉","314","Sanmin Vil.","三民村"
"103","G03","1000205","礁溪鄉","315","Linmei Vil.","林美村"
"104","G03","1000205","礁溪鄉","316","Bai'e Vil.","白鵝村"
"105","G03","1000205","礁溪鄉","317","Yuguang Vil.","玉光村"
"106","G03","1000205","礁溪鄉","318","Guangwu Vil.","光武村"
"107","G09","1000203","蘇澳鎮","262","Shenghu Vil.","聖湖里"
"108","G09","1000203","蘇澳鎮","263","Suxi Vil.","蘇西里"
"109","G09","1000203","蘇澳鎮","264","Subei Vil.","蘇北里"
"110","G09","1000203","蘇澳鎮","265","Sunan Vil.","蘇南里"
"111","G09","1000203","蘇澳鎮","266","Sudong Vil.","蘇東里"
"112","G09","1000203","蘇澳鎮","267","Chang'an Vil.","長安里"
"113","G09","1000203","蘇澳鎮","268","Yongguang Vil.","永光里"
"114","G09","1000203","蘇澳鎮","269","Yongchun Vil.","永春里"
"115","G09","1000203","蘇澳鎮","270","Yongle Vil.","永樂里"
"116","G09","1000203","蘇澳鎮","271","Nan'an Vil.","南安里"
"117","G09","1000203","蘇澳鎮","272","Nanzheng Vil.","南正里"
